Score: 51, seed: final-355, avg: 57.1, std: 5.3
Score: 61, seed: final-365, avg: 57.1, std: 5.3
Score: 64, seed: final-408, avg: 57.1, std: 5.3
Score: 55, seed: final-416, avg: 57.1, std: 5.3
Score: 65, seed: final-352, avg: 57.1, std: 5.3
Score: 68, seed: final-339, avg: 57.2, std: 5.3
Score: 64, seed: final-361, avg: 57.2, std: 5.3
Score: 38, seed: final-371, avg: 57.1, std: 5.4
Score: 55, seed: final-422, avg: 57.1, std: 5.4
Score: 52, seed: final-414, avg: 57.1, std: 5.4
Score: 63, seed: final-358, avg: 57.1, std: 5.4
Score: 61, seed: final-367, avg: 57.1, std: 5.4
Score: 54, seed: final-377, avg: 57.1, std: 5.4
Score: 65, seed: final-428, avg: 57.1, std: 5.4
Score: 61, seed: final-345, avg: 57.2, std: 5.4
Score: 63, seed: final-420, avg: 57.2, std: 5.4
Score: 60, seed: final-373, avg: 57.2, std: 5.4
Score: 48, seed: final-364, avg: 57.2, std: 5.4
Score: 46, seed: final-434, avg: 57.1, std: 5.4
Score: 59, seed: final-383, avg: 57.1, std: 5.4
Score: 58, seed: final-426, avg: 57.1, std: 5.4
Score: 62, seed: final-351, avg: 57.1, std: 5.4
Score: 49, seed: final-379, avg: 57.1, std: 5.4
Score: 60, seed: final-440, avg: 57.1, std: 5.4
Score: 61, seed: final-370, avg: 57.1, std: 5.4
Score: 50, seed: final-389, avg: 57.1, std: 5.4
Score: 61, seed: final-432, avg: 57.1, std: 5.4
Score: 59, seed: final-357, avg: 57.1, std: 5.4
Score: 61, seed: final-385, avg: 57.1, std: 5.4
Score: 55, seed: final-446, avg: 57.1, std: 5.4
Score: 63, seed: final-438, avg: 57.2, std: 5.4
Score: 55, seed: final-395, avg: 57.1, std: 5.4
Score: 57, seed: final-363, avg: 57.1, std: 5.4
Score: 67, seed: final-391, avg: 57.2, std: 5.4
Score: 53, seed: final-452, avg: 57.2, std: 5.4
Score: 59, seed: final-376, avg: 57.2, std: 5.4
Score: 64, seed: final-444, avg: 57.2, std: 5.4
Score: 51, seed: final-397, avg: 57.2, std: 5.4
Score: 59, seed: final-401, avg: 57.2, std: 5.4
Score: 65, seed: final-369, avg: 57.2, std: 5.4
Score: 56, seed: final-458, avg: 57.2, std: 5.4
Score: 60, seed: final-450, avg: 57.2, std: 5.4
Score: 58, seed: final-403, avg: 57.2, std: 5.4
Score: 52, seed: final-407, avg: 57.2, std: 5.4
Score: 61, seed: final-382, avg: 57.2, std: 5.4
Score: 61, seed: final-375, avg: 57.2, std: 5.4
Score: 59, seed: final-464, avg: 57.2, std: 5.4
Score: 52, seed: final-456, avg: 57.2, std: 5.4
Score: 57, seed: final-409, avg: 57.2, std: 5.3
Score: 56, seed: final-381, avg: 57.2, std: 5.3
Score: 55, seed: final-413, avg: 57.2, std: 5.3
Score: 57, seed: final-388, avg: 57.2, std: 5.3
Score: 62, seed: final-470, avg: 57.2, std: 5.3
Score: 60, seed: final-462, avg: 57.2, std: 5.3
Score: 62, seed: final-415, avg: 57.2, std: 5.3
Score: 63, seed: final-387, avg: 57.2, std: 5.3
Score: 59, seed: final-476, avg: 57.2, std: 5.3
Score: 62, seed: final-419, avg: 57.2, std: 5.3
Score: 53, seed: final-468, avg: 57.2, std: 5.3
Score: 56, seed: final-394, avg: 57.2, std: 5.3
Score: 51, seed: final-421, avg: 57.2, std: 5.3
